kdrama_name,original_networks
One Well-Raised Daughter,SBS
Only Love,SBS
Only You,SBS
Operation Proposal,TV Chosun
Orange Marmalade,KBS
Our Beloved Summer,Netflix
Our Beloved Summer, SBS
Our Blues,Netflix
Our Blues, tvN
Our Gap-soon,SBS
Over the Rainbow,MBC
Pachinko,NA
Padam Padam,jTBC
Papa,KBS
Partners for Justice,MBC
Passionate Love,SBS
Pegasus Market,tvN
Perfume,KBS
Persona,Netflix
Phantom,SBS
Phoenix,MBC
Phoenix 2020,SBS
Piano,SBS
Pied Piper,tvN
Pink Lipstick,MBC
Pinocchio,SBS
Player,OCN
"Please Come Back, Soon-ae",SBS
Please Don't Date Him,MBC
Please Don't Date Him, MBC every
Plus Nine Boys,tvN
Police University,KBS
"Poong, the Joseon Psychiatrist",tvN
Poseidon,KBS
Possessed,Netflix
Possessed, OCN
Potato Star 2013QR3,tvN
Pots of Gold,MBC
Precious Family,KBS
Pride and Prejudice,MBC
Priest,OCN
Prime Minister & I,KBS
Princess Aurora,MBC
Princess Hours,NA
Prison Playbook,Netflix
Prison Playbook, tvN
Private Lives,jTBC
Private Lives, Netflix
Protect the Boss,SBS
Psychopath Diary,tvN
Punch,SBS
Pure Love,KBS
Pure Pumpkin Flower,SBS
Que Sera Sera,NA
Queen and I,tvN
Queen for Seven Days,KBS
Queen of Mystery,KBS
Queen of Mystery 2,KBS
Queen: Love and War,TV Chosun
Queen: Love and War, Viki
Quiz of God,OCN
Racket Boys,Netflix
Racket Boys, SBS
Radiant Office,MBC
Radio Romance,KBS
Rain or Shine,jTBC
Record of Youth,Netflix
Record of Youth, tvN
Red Shoes,KBS
Reflection of You,jTBC
Reflection of You, Netflix
Remarriage & Desires,Netflix
Remember,MBC
Replay: The Moment,Daum Kakao TV
Reply Series,tvN
Reply 1988,tvN
Reply 1994,tvN
Reply 1997,tvN
Reset,OCN
Resurrection,KBS
Return,SBS
Reunited Worlds,SBS
Reverse,MBC
Revolutionary Love,tvN
Revolutionary Sisters,KBS
Rich Man,DramaX
Rich Man, Viki
Righteous Love,tvN
Risky Romance,MBC
River Where the Moon Rises,KBS
River Where the Moon Rises, Viki
River Where the Moon Rises, ViuTV
Robber,SBS
Romance,MBC
Romance Is a Bonus Book,Netflix
Romance Is a Bonus Book, tvN
Romance Town,KBS
Rooftop Prince,SBS
Rookie Historian Goo Hae-ryung,MBC
Rookie Historian Goo Hae-ryung, Netflix
Rookie Cops,NA
Room No. 9,tvN
Rose Mansion,tvN
Rosy Lovers,MBC
Royal Secret Agent,iQiyi
Royal Secret Agent, KBS
Ruby Ring,KBS
Ruby Ruby Love,On Style
Rugal,Netflix
Rugal, OCN
Ruler of Your Own World,MBC
Run On,jTBC
Run On, Netflix
"Run, Jang-mi",SBS
Rustic Period,SBS
Sad Love Story,MBC
"Saimdang, Memoir of Colors",SBS
Salamander Guru and The Shadows,SBS
Salut D'Amour,KBS
Sandglass,SBS
Save Me,OCN
Save Me 2,OCN
Save the Family,KBS
Save the Last Dance for Me,SBS
Say It with Your Eyes,MBC
Scent of a Woman,SBS
School 2013,KBS
School 2017,KBS
School 2021,KBS
School 2021, Viki
Who Are You: School 2015,KBS
Schoolgirl Detectives,jTBC
Search,OCN
Search: WWW,tvN
Second 20s,tvN
Second to Last Love,SBS
Secret,MBC
Secret Affair,jTBC
Secret Boutique,SBS
Secret Door,SBS
Secret Healer,jTBC
Secret Love,DRAMAcube
Secret Mother,SBS
Secret Royal Inspector & Joy,tvN
Secrets and Lies,MBC
Secrets of Women,KBS
Sell Your Haunted House,KBS
Semantic Error,NA
Seoul 1945,KBS
"Seoyoung, My Daughter",KBS
She Knows Everything,MBC
She Was Pretty,MBC
She Would Never Know,iQiyi
She Would Never Know, jTBC
Shine or Go Crazy,MBC
Shining Romance,MBC
Shopping King Louie,MBC
Short,OCN
Short, Viki
Should We Kiss First?,SBS
Show Window: The Queen's House,Channel A
Show Window: The Queen's House, Viki
Sh**ting Stars,tvN
Signal,tvN
Sin Don,MBC
Single Dad in Love,KBS
Sisters of the Sea,MBC
Sisyphus: The Myth,jTBC
Sisyphus: The Myth, Netflix
Six Flying Dragons,SBS
Sketch,jTBC
Sky Castle,jTBC
Smile Again,SBS
"Smile, Mom",SBS
Snow Flower,SBS
Snowdrop,jTBC
So I Married the Anti-fan,Amazon Prime
So I Married the Anti-fan, iQiyi
So I Married the Anti-fan, Naver TV Cast
So I Married the Anti-fan, Viki
So I Married the Anti-fan, vLive
So Not Worth It,Netflix
