kdrama_name,original_networks
Solomon's Perjury,jTBC
Somebody,Netflix
Someday,OCN
Something About 1%,DramaX
Something About 1 Percent,DramaX
Something About Us,NA
Something Happened in Bali,NA
Something in the Rain,jTBC
Something in the Rain, Netflix
Songgot: The Piercer,jTBC
Soul Mechanic,KBS
Soundtrack 1,NA
Special Affairs Team TEN,OCN
Special Labor Inspector,MBC
Splendid Politics,MBC
Sponsor,MBN
Sponsor, Viki
Spotlight,MBC
Spring Day,SBS
Spring Turns to Spring,MBC
Spy,KBS
Spy Myung-wol,KBS
Squad 38,OCN
Squid Game,Netflix
Stained Glass,SBS
Standby,MBC
Star in My Heart,MBC
Stars Falling from the Sky,tvN
Start-Up,Netflix
Start-Up, tvN
Star's Echo,Fuji TV
Star's Echo, MBC
Star's Lover,SBS
Steal Heart,jTBC
Still 17,SBS
Still You,SBS
Stranger,Netflix
Stranger, tvN
Strong Girl Bong-soon,jTBC
Strongest Deliveryman,KBS
Suits,KBS
Sunlight Pours Down,SBS
Sunny Again Tomorrow,KBS
Super Daddy Yeol,tvN
Super Rookie,SBS
Surgeon Bong Dal-hee,SBS
Suspicious Partner,SBS
Sweden Laundry,MBC every
Sweet Buns,MBC
Sweet Enemy,SBS
Sweet Home,Netflix
"Sweet Home, Sweet Honey",KBS
Sweet Munchies,jTBC
Sweet Munchies, Viki
Sweet Revenge,Oksusu
Sweet Revenge 2,XtvN
Sweet Spy,MBC
Sweet Stranger and Me,KBS
"Sweet, Savage Family",MBC
Switch,SBS
Syndrome,jTBC
Taejo Wang Geon,KBS
"Take Care of Us, Captain",SBS
Tale of Fairy,tvN
Tale of the Nine Tailed,tvN
Tasty Life,SBS
Taxi Driver,SBS
Tazza,SBS
Team Bulldog: Off-Duty Investigation,OCN
Tears of Heaven,MBN
Tears of the Dragon,KBS
Tell Me What You Saw,OCN
Temperature of Love,SBS
Temptation,SBS
Temptation of Wife,SBS
Tempted,MBC
Terroir,SBS
Thank You,MBC
"That Winter, the Wind Blows",SBS
The Accidental Narco,Netflix
The All-Round Wife,KBS
The Banker,MBC
The Beauty Inside,jTBC
The Birth of a Family,SBS
The Blade and Petal,KBS
The Bride of Habaek,tvN
The Chaser,SBS
The Clinic for Married Couples: Love and War,KBS
The Cursed,tvN
The Crowned Clown,tvN
The Dawn of the Empire,KBS
The Devil,SBS
The Devil Judge,tvN
The Doctors,SBS
The Eldest,jTBC
The Emperor: Owner of the Mask,MBC
The Empire of Law,jTBC
The End of the World,jTBC
The Family is Coming,SBS
The Fiery Priest,SBS
The Forbidden Marriage,MBC
The Fugitive of Joseon,KBS
The Game: Towards Zero,MBC
The Gentlemen of Wolgyesu Tailor Shop,KBS
The Ghost Detective,KBS
The Good Detective,jTBC
The Good Wife,tvN
"The Great King, Sejong",KBS
The Great Merchant,KBS
The Great Seer,SBS
The Great Shaman Ga Doo-shim,Daum Kakao TV
The Great Shaman Ga Doo-shim, Viki
The Great Show,tvN
The Greatest Love,MBC
The Greatest Marriage,TV Chosun
The Guardians,MBC
The Guest,OCN
The Heirs,SBS
The Hymn of Death,Netflix
The Hymn of Death, SBS
The Idle Mermaid,tvN
The Idolmaster KR,SBS Plus
The Innocent Man,KBS
The Jingbirok: A Memoir of Imjin War,KBS
The K2,tvN
The Killer's Shopping List,tvN
The King 2 Hearts,MBC
The King and I,SBS
The King and the Queen,KBS
The King in Love,MBC
The King in Love, Viki
The King of Chudong Palace,MBC
The King of Dramas,SBS
The King of Pigs,tvN
"The King of Tears, Lee Bang-won",KBS
The King: Eternal Monarch,Netflix
The King: Eternal Monarch, SBS
The King's Affection,KBS
The King's Affection, Netflix
"The King's Daughter, Soo Baek-hyang",MBC
The King's Doctor,MBC
The King's Face,KBS
The Lady in Dignity,jTBC
The Last Empress,SBS
The Last Match,MBC
The Law Cafe,KBS
The Law Cafe, ViuTV
The Legend of the Blue Sea,SBS
The Liar and His Lover,tvN
The Lies Within,Netflix
The Lies Within, OCN
The Light in Your Eyes,jTBC
The Light in Your Eyes, Viki
The Lover,Mnet
The Man in the Mask,KBS
The Master of Revenge,KBS
The Merchant,MBC
The Merchant: Gaekju 2015,KBS
The Miracle,Naver TV Cast
The Miracle We Met,KBS
The Most Beautiful Goodbye,tvN
The Musical,SBS
The Mysterious Class,NA
The Noblesse,jTBC
The One and Only,jTBC
The Package,jTBC
The Penthouse: War in Life,SBS
The Police Station Next to the Fire Station,SBS
The Princess' Man,KBS
The Producers,KBS
The Promise,KBS
The Queen of Office,KBS
The Queen's Classroom,MBC
The Rebel,MBC
The Red Sleeve,MBC
The Red Sleeve, Viki
The Reputable Family,KBS
The Return of Hwang Geum-bok,SBS
The Rich Son,MBC
The Road Home,KBS
The Road: The Tragedy of One,tvN
The Royal Gambler,SBS
The Running Mates: Human Rights,OCN
The Scandal,MBC
The Scholar Who Walks the Night,MBC
The School Nurse Files,Netflix
The Second Husband,MBC
The Secret House,MBC
The Secret Life of My Secretary,SBS
The Secret Lovers,MBC
The Secret of Birth,SBS
The Secret of My Love,KBS
The Silent Sea,Netflix
The Smile Has Left Your Eyes,tvN
The Sound of Magic,Netflix
The Sound of Your Heart,Naver TV Cast
The Spies Who Loved Me,iQiyi
The Spies Who Loved Me, MBC
The Suspicious Housekeeper,SBS
The Tale of Nokdu,KBS
The Third Charm,jTBC
The Third Hospital,tvN
The Three Musketeers,tvN
The Time We Were Not in Love,SBS
The Uncanny Counter,Netflix
The Uncanny Counter, OCN
The Undateables,SBS
The Vampire Detective,OCN
The Veil,MBC
The Village: Achiara's Secret,SBS
The Virtual Bride,KBS
The Virus,OCN
The Wedding Scheme,tvN
The Wind Blows,jTBC
The Witch's Diner,Naver TV Cast
The Witch's Diner, tvN
The World of the Married,jTBC
The Youngest Son of a Conglomerate,jTBC
Thirty-Nine,jTBC
Thirty-Nine, Netflix
This Is My Love,jTBC
Thousand Years of Love,Naver TV Cast
Three Color Fantasy,Naver TV Cast
Queen of the Ring,Naver TV Cast
Romance Full of Life,Naver TV Cast
The Universe's Star,Naver TV Cast
Three Days,SBS
Three Friends,MBC
Three Sisters,SBS
Thrice Married Woman,SBS
Through the Darkness,SBS
Times,OCN
To My Beloved,jTBC
To the Beautiful You,SBS
Today's Webtoon,SBS
Today's Webtoon, Viki
Today's Webtoon, ViuTV
"Toji, the Land",SBS
Tokyo Sun Shower,SBS
Tomorrow,MBC
Tomorrow, Netflix
Tomorrow Boy,Naver TV Cast
"Tomorrow, with You",tvN
Top Management,NA
Top Star U-back,tvN
Touch,Channel A
Touch, Viki
Touch Your Heart,tvN
Tracer,MBC
Train,OCN
Trap,OCN
Triangle,MBC
Trio,MBC
Trolley,SBS
True Beauty,tvN
True Sword Battle,KBS
Tunnel,OCN
Twelve Nights,Channel A
Twelve Nights, Viki
Two Cops,MBC
Two Mothers,KBS
Two Weeks,MBC
Two Wives,SBS
Two Women's Room,SBS
Ugly Alert,SBS
Ugly Miss Young-ae,tvN
Unasked Family,KBS
Uncle,TV Chosun
Uncle, Viki
Uncontrollably Fond,KBS
Undercover,jTBC
Unkind Ladies,KBS
Unknown Woman,KBS
Unstoppable Marriage,KBS
Until the Azalea Blooms,KBS
Untouchable,jTBC
Vagabond,Netflix
Vagabond, SBS
Vampire Idol,MBN
Vampire Prosecutor,OCN
Vincenzo,Netflix
Vincenzo, tvN
VIP,SBS
Voice,OCN
W,MBC
Wang's Family,KBS
Want a Taste?,SBS
Wanted,SBS
War of Money,SBS
Warm and Cozy,MBC
Warrior Baek Dong-soo,SBS
Was It Love?,jTBC
Was It Love?, Netflix
Watcher,OCN
We Are Dating Now,SBS
We Broke Up,Naver TV Cast
Webtoon Hero Toondra Show,MBC every
Wedding,KBS
Wednesday 3:30 PM,Oksusu
Weightlifting Fairy Kim Bok-joo,MBC
Welcome,Netflix
Welcome, tvN
Welcome 2 Life,MBC
Welcome Rain to My Life,SBS
Welcome to Waikiki,jTBC
Welcome to Waikiki 2,jTBC
Welcome to Waikiki 2, Viki
Welcome to Wedding Hell,Daum Kakao TV
Welcome to Wedding Hell, Netflix
West Palace,KBS
What Happens to My Family?,KBS
What's for Dinner?,MBC
What's Up,MBN
What's Up Fox,MBC
What's Wrong with Secretary Kim,tvN
When a Man Falls in Love,MBC
When I Was the Most Beautiful,MBC
When My Love Blooms,tvN
When the Camellia Blooms,KBS
When the Camellia Blooms, Netflix
When the Devil Calls Your Name,tvN
When the Weather Is Fine,jTBC
When the Weather Is Fine, Viki
When Women Powder Twice,jTBC
Where Stars Land,SBS
Where Stars Land, Viki
Where Your Eyes Linger,Viki
Which Star Are You From,MBC
While You Were Sleeping,SBS
Whisper,SBS
White Nights 3.98,SBS
Who Are You?,tvN
Why Her,SBS
Why Her, Viki
Why Her, ViuTV
Wife Returns,SBS
Wild Romance,KBS
Witch at Court,KBS
Witch's Love,MBN
Witch's Love, Viki
Wok of Love,SBS
Woman of 9.9 Billion,KBS
"Woman of Matchless Beauty, Park Jung-geum",MBC
Woman with a Suitcase,MBC
Women in the Sun,KBS
Wonderful Days,KBS
Wonderful Mama,SBS
Woori the Virgin,SBS
"Work Later, Drink Now",tvN
Working Mom,SBS
Working Mom Parenting Daddy,MBC
Wuri's Family,MBC
XX,MBC
XX, Naver TV Cast
XX, vLive
Yeon Gaesomun,SBS
Yeonnam-dong 539,MBN
YG Future Strategy Office,Netflix
Yong-pal,SBS
You and I,MBC
You Are a Gift,SBS
You Are My Destiny,MBC
You Are My Spring,Netflix
You Are My Spring, tvN
You Are the Best!,KBS
You Are the Boss!,MBC
You Are the Only One,KBS
You Are Too Much,MBC
You Don't Know Women,SBS
You Drive Me Crazy,OCN
You're All Surrounded,SBS
You're Beautiful,SBS
You're Only Mine,SBS
Young Lady and Gentleman,KBS
Your Honor,SBS
Your House Helper,KBS
Your Lady,SBS
Your Neighbor's Wife,jTBC
Youth,NA
Youth of May,KBS
Yumi's Cells,tvN
Zombie Detective,KBS
