title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
4355,Can I Take It Back?,ROMANCE,shinmae,SUNDAY,14,224934,9.72,3034489,350527,ONGOING,False,"Hayan, a high school student, finally gathers the courage to confess to her crush. But somehow her confession ends up in the hands of another student named Bakha, who is rumored to be a bully and a womanizer. Hayan desperately tries to hide that she confessed to the wrong person because she is terrified by the rumors. Meanwhile, Bakha starts to take an interest in her, and opens up to her in his own way. Will Hayan be able to escape him and confess to the right person this time?"
4353,My Dud to Stud Boyfriend,DRAMA,"YERANG,SUTGGI",THURSDAY,14,111426,7.47,1897356,209011,ONGOING,False,"You just wait. I’ll find a boyfriend who’s WAY better than you!
After being dumped by her hot ex-boyfriend of two years, Sia is on a mission to find the ultimate boyfriend to join her on her NewTube Channel. To her dismay, however, Minho, an overweight, nerdy otaku who gets bullied at school, asks her out. Should she accept him as her boyfriend? Can she succeed in transforming this dud into a superstud?"
4352,God Tribe,FANTASY,"Agu_JUNU,SEOPASS",THURSDAY,14,95960,9.56,1279536,116494,ONGOING,False,"Latde, a member of a near-extinct God Tribe called The Hwan Tribe, is being raised in the hands of the Carnivore Tribe on the remote Carnivore Island, far away from the mainland. The Hwan Tribe members being raised on the island are sent away to the Hwan Continent upon reaching adulthood, and Latde’s older brother Latz has already left the island to live a new life in their homeland. But as Latde nears adulthood, the secret of the island is revealed, plunging it into turmoil."
4351,Fray,ACTION,GO100,MONDAY,16,92660,9.59,1171983,122733,ONGOING,False,"In a world filled with demons, only knights blessed with miracles can fight against their tyranny. During a moment of desperation, Magpie was given a miracle, the one and only flame that can kill demons. But that very flame turns its owner into a demon that thirsts for ashes…
“Put in the firewood, if you don’t want to turn into a handful of ashes.”
"
4345,Taming the Marquess,ROMANCE,"Ire,KRFFR,gol_G",FRIDAY,3,181815,9.16,4123039,452522,HIATUS,True,"Laranora Ador gets more than she bargained for when she rescues a young boy from being sold off in an infamous auction house. The boy is actually Eskal Van Dyck, the ""Crazy Marquess,"" in disguise! Unaware of his violent and heartless true nature, Laranora takes Eskal under her wing. Determined to raise him with utmost care and respect, Laranora grows deeply attached to Eskal… and in return, the true Eskal begins to fall in love with her. Unfortunately, Eskal is often targeted for his powerful magic and ruthless ways, which leads to a tragic event that separates the two. But Eskal is determined to find her again as his true self. Will Laranora be able to accept who he really is? And more importantly, what will happen when something fishy brewing in the Imperial Palace may involve them both?"
4344,Nano Machine,ACTION,"Great H,GGBG,HANJUNG WOLYA",WEDNESDAY,5,94085,9.54,2433680,199353,ONGOING,True,"Nanotechnology meets martial arts at the Mashin Academy. Yeo-un’s mother may not be one of the High Priest’s six official wives, but his father’s blood still qualifies him for a chance at the position of Minor Priest. Will a mysterious nanomachine injection from a future descendent help Yeo-un in this fierce competition against his powerful half-siblings?"
4316,Legends of Silica,FANTASY,Brian Edward Miller,MONDAY,15,55628,9.29,607374,67121,HIATUS,False,"Amory & Pearson, two ambitious glass crafters, learn they are evicted from their workshop and must seek out new opportunities. They never expected to find themselves as caretakers of the magical Kingdom of Silica. If they want to leave, all they must do is locate the five lost wizards of Silica, convince them to return to the Kingdom AND bring Durward, Warden of the Doors, Master Maker of Portals, and Cursed One out of exile. Simple! Join this magical adventure full of wizards, dragons, elemental creatures, and enchanted glass."
4315,Drawing on Heritage,TIPTOON,WEBTOON Creators,MONDAY,4,30783,8.32,550640,52074,COMPLETED,False,"Welcome to McDonald’s Drawing on Heritage series. Each week we are transported to moments in time, both real and fictional, drawing on the artist’s APA heritage. We hope you’ll join us as we celebrate family bonds, coming of age and what it means to grow up Asian American. Follow along as we celebrate throughout APA Heritage Month."
4314,Trash Belongs in the Trash Can!,ROMANCE,EDDiERiNG,SATURDAY,13,368625,9.54,4358690,513106,ONGOING,False,"Woobin is an expert at seducing rich ladies with his handsome looks, and lives off of the gifts he receives from them. He approaches the rich, beautiful Suji to prey on her... but ends up falling in love! Blinded by love, Woobin doesn't realize that Suji isn't the angel he thought she was, but rather has a dark side that slowly entangles him. Each with clearly different intentions, Woobin and Suji fall into a romance that can't be recycled!
"
4313,Time Roulette,FANTASY,"SN,Bae302,Choi Ye-gyun",SUNDAY,14,97336,9.26,837685,76161,ONGOING,False,"Poor law school student, Jeonghun Han, experiences a time slip via the time roulette machine he accidentally finds at his father's place. When he comes to his senses, he finds himself in the middle of a battlefield during the Joseon dynasty! But before Jeonghun can even process what’s happened, he’s approached by a messenger named Jun, who informs him that the only way he can go back to his time period is by completing the time roulette’s mission. Will Jeonghun be able to complete his mission and return to his time?"
4288,Exchange Student,DRAMA,ultrafrog,TUESDAY,11,91064,9.53,654481,70407,ONGOING,False,"After Yongcheol's mother suddenly faints on the day of her college entrance exam, her world is turned upside down. She starts working to pay for the hospital bills, but one day after work, a university jacket randomly lands on top of her head. Inside the jacket, she finds the ID card of a student named Chaeyeon Lee. One thing leads to another, and she starts impersonating that student. While things seemed all right initially, the real Chaeyeon finally shows up. How will Yongcheol explain her way out of this, and does this mean the end of school for her?"
4286,+99 Reinforced Wooden Stick,COMEDY,"HONGSIL,JIPERY",SATURDAY,14,247176,9.31,3993635,333344,ONGOING,False,"Welcome to “Chrono Life,” a virtual reality game where only the strongest survive.
Ji-u logs in to “Chrono Life,” only to be ignored and ridiculed by the other players for his lack of experience, crappy items, and being an overall noob.
But when he upgrades his wooden stick to the max reinforcement level of +99, Ji-u realizes he has the power to split continents and slay armies of thousands in just one swing.
“It’s time to teach the rest of you a lesson, you f*ckers.”
"
4269,A Heart for the Emperor,ROMANCE,"6S,coconutberry,yuIIimni",TUESDAY,3,165053,6.83,3559068,331566,ONGOING,True,"Our protagonist ends her day as usual, rereading her favorite novel before sleep. But, after awakening in the body of Princess Charlioni of the Kingdom of Linoa, the protagonist of that very novel, she realizes that it's only a matter of time before her kingdom is ruthlessly defeated at the hands of Casikaf, the blood-thirsty Emperor of Pretas. Fortunately, she has the upper hand of knowing that he’ll fall madly in love with her at first sight. But when the novel starts veering off track and every character isn't who they appear to be, she'll have to take matters into her own hands to get her happy ending. "
4262,Spring Once Again,DRAMA,2Hing,MONDAY,12,54964,9.48,380987,56906,ONGOING,False,"Bom Do, a timid middle school student, can never say no to people because she is afraid of being disliked. Her only confidant is her grandmother, an extroverted woman who raised her and her sister. One day, Bom’s grandmother wakes up in her granddaughter’s body after getting into an accident. Can the grandmother, who is the polar opposite of her granddaughter, adapt to school life while she looks for a way to return to her body?"
4261,Principal's Livestream,COMEDY,jwawind,SATURDAY,11,37821,9.4,346360,47963,ONGOING,False,"A high school principal loses all his assets trading stocks. With only a year left from retirement, Doman starts a personal broadcasting channel with his student Hongsam in order to make up for the money he has lost, which gets him in to all sorts of troubles… Will this buzzkill teacher be able to pay off his debts as a popular streamer?"
4218,Publishing Love,ROMANCE,"Rosa,Song Yi",SUNDAY,5,122738,7.89,1954056,166087,ONGOING,True,"Bom Ahn had a dazzling debut as a writer, and won a major award for her first novel. But nine years later, she’s found no long-term success with only countless rejections from over a hundred publishing companies, whereas her childhood friend Leo has already become a successful writer. When Bom applies for a job at the SW Publishing Company, she meets Haneul, a frosty yet capable department head. Haneul has a rare condition which prevents him from recognizing the faces of women. That is, until he meets Bom, whose face he can see as clear as day…  
"
